Name,SMILES,Score
NCGC00478609-01,CN(Cc1ccc(cc1)c2ccccc2)C(=O)c3cccc(c3)OC,-16.3851
NCGC00409937-01,c1ccc(cc1)CN2[C@H]3CC[N@@H+](CC[C@@H]3OCC2=O)Cc4ccc5c(c4)CCO5,-16.3824
NCGC00464198-01,Cc1c[nH+]c(n1[C@@H]2CCCN(C2)C(=O)COc3ccc(cc3)F)c4ccccc4,-16.3786
NCGC00463637-01,c1ccc(cc1)C(=O)N2CC3(CCN(CC3)C(=O)c4ccc5c(c4)cccn5)C[C@H]2CO,-16.369
NCGC00476705-01,CN1c2ccccc2[C@]3(C1=O)CC[N@](C3)[S@@+](=O)(c4cccc(c4)C(F)(F)F)[O-],-16.3622
NCGC00411118-01,c1ccc(cc1)C[N@H+]2CCNc3cc([nH+]cc3C2)c4c[nH]nc4,-16.359
NCGC00425925-01,c1ccc2c(c1)CCN(C2)C(=O)CCC3CCN(CC3)[S@@+](=O)(c4ccc(cc4)F)[O-],-16.352
NCGC00393713-01,c1ccc(cc1)CN2c3ccccc3O[C@H]4C[C@@H](C2=O)[N@@H+](C4)Cc5ccc(cc5)Cl,-16.3503
NCGC00469547-01,Cc1ccc(cc1F)C(=O)N2CCC3(CC2)N(C(=O)C[S@@+]3(=O)[O-])c4ccccc4,-16.3464
NCGC00451058-01,Cc1ccc(cc1)Cn2c(n[nH]c2=O)C3CCN(CC3)C(=O)c4cc(cc(c4)C)C,-16.3448
NCGC00467946-01,COC[C@@H]1CN(C[C@H]1c2ccncc2)C(=O)c3cn4ccccc4[nH+]3,-16.3389
NCGC00427130-01,c1ccc(c(c1)C(=O)N2CCCC2)OC[C@@H]3CCC[N@@H+](C3)Cc4cccc(c4)O,-16.3262
NCGC00470331-01,COc1cccc(c1)N2CCN(CC2)C(=O)c3cn4ccnc(c4[nH+]3)c5ccccc5,-16.3114
NCGC00446458-01,CN1C(=O)[C@H](CC12CC[NH+](CC2)Cc3ccc(cc3F)F)c4ccccc4,-16.3041
NCGC00478884-01,Cc1ccc(cc1)C(=O)N2CCCC[C@@]23Cc4ccccc4NC3=O,-16.2937
NCGC00470688-01,Cn1cc(ccc1=O)C[NH+]2CCN(CC2)C(=O)c3c[nH]c4c3cccc4,-16.2913
NCGC00433503-01,Cc1ccc(cc1[S@+](=O)([N@@]2CCC[C@@H](C2)Cn3c4c(cccn4)nc3C5CC5)[O-])F,-16.2764
NCGC00377523-01,CC(C)C(=O)N1Cc2ccccc2C[C@]3(C1)CCC[N@H+](C3)Cc4ccccc4,-16.2595
NCGC00415848-01,c1ccc(cc1)C(=O)NC[C@@H]2C[N@H+](CC23CN(C3)c4ccccc4)Cc5cccc(c5)O,-16.2557
NCGC00477292-01,c1ccc2c(c1)C[C@@]3(CCN3C(=O)c4ccc(cc4)C(F)(F)F)C(=O)N2,-16.2436
NCGC00415926-01,c1ccc(cc1)N2CC3(C2)CN(C[C@@H]3CNC(=O)C4CC4)C(=O)c5cccc(c5)Cl,-16.2418
NCGC00373812-01,c1ccc(cc1)N2c3ccccc3[C@]4(C2=O)CCN(C4)C(=O)c5ccc6c(c5)OCO6,-16.2391
NCGC00424125-01,c1ccc2c(c1)cnn(c2=O)CC(=O)N[C@H]3CCCc4c3[nH]c5c4cccc5Cl,-16.2326
NCGC00469760-01,Cc1c[nH+]c(n1Cc2ccc(cc2)F)CC3CCN(CC3)C(=O)CC4CCCC4,-16.2252
NCGC00373778-01,c1ccc(cc1)N2c3ccccc3[C@]4(C2=O)CC[N@H+](C4)Cc5ccc(cc5)C(F)(F)F,-16.2176
NCGC00478416-01,c1ccc2c(c1)CC3(CCN(CC3)C(=O)Cc4ccc(cc4)F)C(=O)N2,-16.1881
NCGC00416539-01,Cn1cc(c2[nH+]c(cn2c1=O)COc3ccccc3)c4c[nH]nc4,-16.1857
NCGC00426822-01,c1cc(cc(c1)Cl)n2cccc2CC(=O)NCc3ccc(cc3)N4CCOCC4,-16.1642
NCGC00452131-01,C[N@]1c2cc(ccc2C(=O)N3[C@@H]1CCC3)C(=O)N4CCc5ccccc5C4,-16.1594
NCGC00461949-01,CC(=O)N1C[C@H](C2(C1)CCN(CC2)C(=O)c3ccc(cc3)C(F)(F)F)COC,-16.1579
NCGC00463624-01,COc1ccc(cc1)C(=O)N2CCC3(CC2)C[C@H](N(C3)C(=O)c4ccccc4)CO,-16.1564
NCGC00427370-01,C[S@+](=O)([N@](Cc1cccnc1)C2CN(C2)C(=O)CCCc3c[nH]c4c3cccc4)[O-],-16.1251
NCGC00451053-01,Cc1ccc(cc1)Cn2c(n[nH]c2=O)C3CCN(CC3)C(=O)c4cccc(c4)OC,-16.1248
NCGC00476734-01,COc1ccc(cc1)C[N@@H+]2CC[C@]3(C2)c4ccccc4N(C3=O)Cc5ccccc5,-16.1136
