Name,SMILES,Score
NCGC00373407-01,CC(C)C1=NO[C@]2(C1)CCN(C2)C(=O)c3ccc(cc3)C(F)(F)F,-13.0693
NCGC00373409-01,CC(C)C1=NO[C@]2(C1)CCN(C2)C(=O)c3ccccn3,-12.3220
NCGC00373410-01,c1ccc(cc1)[S@+](=O)([N@]2CC[C@@]3(C2)CC(=NO3)c4cccc(c4)C(F)(F)F)[O-],-14.2755
NCGC00373462-01,COc1cccc(c1)N2C(=O)[NH+]=C(C23CC[NH+](CC3)Cc4ccc(cc4)F)NC5CCCCC5,-5.9853
NCGC00373454-01,COc1cccc(c1)N2C(=O)[NH+]=C(C23CC[NH+](CC3)CC4CC4)NC5CCCCC5,-9.8873
NCGC00373426-01,c1cc(cc(c1)C(F)(F)F)C2=NO[C@]3(C2)CC[N@H+](C3)Cc4ccc(cc4)F,-13.0745
NCGC00373423-01,c1ccc(cc1)C[N@@H+]2CC[C@@]3(C2)CC(=NO3)c4cccc(c4)C(F)(F)F,-14.0012
NCGC00373457-01,Cn1cccc1C[NH+]2CCC3(CC2)C(=[NH+]C(=O)N3c4cccc(c4)OC)NC5CCCCC5,-11.5485
NCGC00373405-01,CC(C)C1=NO[C@]2(C1)CCN(C2)C(=O)c3ccccc3OC,-12.6319
NCGC00373453-01,CC(C)CC[NH+]1CCC2(CC1)C(=[NH+]C(=O)N2c3cccc(c3)OC)NC4CCCCC4,-7.9792
NCGC00373412-01,c1cc(cc(c1)C(F)(F)F)C2=NO[C@]3(C2)CC[N@@](C3)[S@@+](=O)(c4cccc(c4)C(F)(F)F)[O-],-13.5206
NCGC00373479-01,c1ccc(cc1)C[NH+]2CCC3(CC2)C(=[NH+]C(=O)N3c4cccnc4)NC5CCCCC5,-8.7313
NCGC00373431-01,Cn1c(ccn1)C[N@@H+]2CC[C@@]3(C2)CC(=NO3)c4cccc(c4)C(F)(F)F,-13.4126
NCGC00373413-01,c1cc(cc(c1)C(F)(F)F)C2=NO[C@]3(C2)CC[N@@](C3)[S@@+](=O)(c4cccs4)[O-],-12.9342
NCGC00373482-01,c1cc(cnc1)N2C(=O)[NH+]=C(C23CC[NH+](CC3)Cc4ccc(cc4)F)NC5CCCCC5,-8.6152
NCGC00373475-01,c1cc(cnc1)N2C(=O)[NH+]=C(C23CC[NH+](CC3)CC4CCCCC4)NC5CCCCC5,-6.1239
NCGC00373432-01,Cn1cccc1C[N@@H+]2CC[C@@]3(C2)CC(=NO3)c4cccc(c4)C(F)(F)F,-13.2031
NCGC00373425-01,CC(=O)Nc1ccc(cc1)C[N@@H+]2CC[C@@]3(C2)CC(=NO3)c4cccc(c4)C(F)(F)F,-9.9359
NCGC00373480-01,COc1ccc(cc1)C[NH+]2CCC3(CC2)C(=[NH+]C(=O)N3c4cccnc4)NC5CCCCC5,-6.5897
NCGC00373430-01,Cc1cc(no1)C[N@@H+]2CC[C@@]3(C2)CC(=NO3)c4cccc(c4)C(F)(F)F,-11.5855
NCGC00373411-01,COc1cccc(c1)[S@+](=O)([N@]2CC[C@@]3(C2)CC(=NO3)c4cccc(c4)C(F)(F)F)[O-],-14.1583
NCGC00373498-01,c1ccc(cc1)C[NH+]2CCC3(CC2)C(=[NH+]C(=O)N3c4cc(cc(c4)F)F)NC5CCCC5,-11.4578
NCGC00373512-01,c1cc(ccc1C(=O)N2CCC(CC2)[N@]3CCC[S@+]3(=O)[O-])C(F)(F)F,-14.4194
NCGC00373497-01,c1cc(cnc1)C[NH+]2CCC3(CC2)C(=[NH+]C(=O)N3c4cc(cc(c4)F)F)NC5CCCC5,-9.4666
NCGC00373509-01,COc1ccccc1C(=O)N2CCC(CC2)N3CCCC3=O,-13.4000
NCGC00373492-01,CC(C)CC[NH+]1CCC2(CC1)C(=[NH+]C(=O)N2c3cc(cc(c3)F)F)NC4CCCC4,-7.3012
NCGC00373495-01,c1cscc1C[NH+]2CCC3(CC2)C(=[NH+]C(=O)N3c4cc(cc(c4)F)F)NC5CCCC5,-11.5721
NCGC00373517-01,c1ccc(cc1)C(=O)N2CCC(CC2)N3Cc4ccccc4C3=O,-14.1420
NCGC00373496-01,Cn1cccc1C[NH+]2CCC3(CC2)C(=[NH+]C(=O)N3c4cc(cc(c4)F)F)NC5CCCC5,-10.3935
NCGC00373518-01,COc1ccc(cc1)C(=O)N2CCC(CC2)N3Cc4ccccc4C3=O,-13.2128
NCGC00373526-01,c1ccc(cc1)C[NH+]2CCC(CC2)N3Cc4ccccc4C3=O,-13.8138
NCGC00373417-01,c1ccc(c(c1)C(=O)N2CC[C@]3(C2)CC(=NO3)c4cccc(c4)C(F)(F)F)F,-15.0448
NCGC00373421-01,Cc1ccc(cc1)C(=O)N2CC[C@]3(C2)CC(=NO3)c4cccc(c4)C(F)(F)F,-12.5838
NCGC00373418-01,c1cc(cc(c1)C(F)(F)F)C2=NO[C@@]3(C2)CCN(C3)C(=O)c4ccc(cc4)C(F)(F)F,-9.0005
NCGC00373528-01,c1ccc2c(c1)CN(C2=O)C3CC[NH+](CC3)Cc4ccc(cc4)C#N,-12.3768
NCGC00373520-01,c1ccc2c(c1)CN(C2=O)C3CCN(CC3)C(=O)c4ccccc4F,-14.9290
NCGC00373419-01,c1cc(cc(c1)C(F)(F)F)C2=NO[C@@]3(C2)CCN(C3)C(=O)c4ccc5c(c4)OCO5,-11.8545
NCGC00373420-01,c1ccnc(c1)C(=O)N2CC[C@]3(C2)CC(=NO3)c4cccc(c4)C(F)(F)F,-12.5452
NCGC00373525-01,CN(C)c1ccc(cc1)C[NH+]2CCC(CC2)N3Cc4ccccc4C3=O,-12.0044
NCGC00373519-01,COc1ccccc1C(=O)N2CCC(CC2)N3Cc4ccccc4C3=O,-15.3670
NCGC00373544-01,c1cc2c(cc1C(=O)N3CCC(CC3)N4CCNC4=O)OCO2,-12.8755
NCGC00373515-01,c1ccc2c(c1)CN(C2=O)C3CCN(CC3)[S@@+](=O)(c4cccs4)[O-],-14.0795
NCGC00373552-01,c1cscc1C[NH+]2CCC(CC2)N3CCOCC3=O,-10.9018
NCGC00373541-01,c1cc(ccc1C[NH+]2CCC(CC2)N3CCCOC3=O)C#N,-14.1366
NCGC00373531-01,Cc1ccc(cc1)C(=O)N2CCC(CC2)N3CCCOC3=O,-14.7957
NCGC00373514-01,Cc1c(c(on1)C)[S@+](=O)(N2CCC(CC2)[N@]3CCC[S@+]3(=O)[O-])[O-],-9.7959
NCGC00373555-01,c1cc(cnc1)C[NH+]2CCC(CC2)N3CCOCC3=O,-10.3699
NCGC00373540-01,c1ccc(c(c1)C(=O)N2CCC(CC2)N3CCCOC3=O)F,-13.1718
NCGC00373516-01,Cc1c(c(on1)C)[S@+](=O)(N2CCC(CC2)N3Cc4ccccc4C3=O)[O-],-12.3710
NCGC00373559-01,COc1ccccc1C(=O)N2CCC(CC2)N3CCOCC3=O,-12.0336
NCGC00373556-01,c1cc2c(cc1C(=O)N3CCC(CC3)N4CCOCC4=O)OCO2,-12.9396
NCGC00373570-01,c1ccc(cc1)C(=O)N2CCC(CC2)N3CCOC3=O,-13.7659
NCGC00373557-01,COc1ccc(cc1)C(=O)N2CCC(CC2)N3CCOCC3=O,-12.4480
NCGC00373572-01,c1ccc(cc1)C[NH+]2CCC(CC2)N3CCOC3=O,-11.8965
NCGC00373573-01,c1cc(ccc1C[NH+]2CCC(CC2)N3CCOC3=O)C#N,-12.8586
NCGC00373548-01,COc1ccc(cc1)[S@+](=O)(N2CCC(CC2)N3CCOCC3=O)[O-],-13.6762
NCGC00373549-01,c1cc(cc(c1)[S@+](=O)(N2CCC(CC2)N3CCOCC3=O)[O-])C(F)(F)F,-15.1933
NCGC00373574-01,COc1ccc(cc1)C[NH+]2CCC(CC2)N3CCOC3=O,-11.7817
NCGC00373567-01,COc1ccccc1C(=O)N2CCC(CC2)N3CCOC3=O,-12.2534
NCGC00373539-01,COc1ccccc1C(=O)N2CCC(CC2)N3CCCOC3=O,-12.8435
NCGC00373569-01,Cc1c(c(on1)C)[S@+](=O)(N2CCC(CC2)N3CCOC3=O)[O-],-11.6560
NCGC00373513-01,c1cc(ccc1C(F)(F)F)[S@+](=O)(N2CCC(CC2)[N@]3CCC[S@+]3(=O)[O-])[O-],-13.8458
NCGC00373585-01,Cn1cccc1C[NH+]2CCC(CC2)N3CCOCC3=O,-11.0507
NCGC00373586-01,Cc1cc(no1)C[NH+]2CCC(CC2)N3CCOCC3=O,-11.0484
NCGC00373588-01,c1cc(ccc1C[NH+]2CCC(CC2)N3CCOCC3=O)C#N,-12.9036
NCGC00373587-01,c1cc(ccc1C[NH+]2CCC(CC2)N3CCOCC3=O)C(F)(F)F,-13.0984
NCGC00373581-01,c1ccnc(c1)C(=O)N2CCC(CC2)N3CCOCC3=O,-11.8353
NCGC00373582-01,c1ccc(c(c1)C(=O)N2CCC(CC2)N3CCOCC3=O)F,-12.7204
NCGC00373590-01,COc1ccc(cc1)C[NH+]2CCC(CC2)N3Cc4ccccc4C3=O,-12.7077
NCGC00373591-01,c1ccc(c(c1)C(=O)N2CCC(CC2)N3CCNC3=O)F,-11.7516
NCGC00373595-01,Cc1ccc(cc1)C(=O)N2CCC(CC2)N3CCNC3=O,-13.0033
NCGC00373592-01,c1cc(ccc1C(=O)N2CCC(CC2)N3CCNC3=O)C(F)(F)F,-14.0399
NCGC00373529-01,c1ccc(cc1)[S@+](=O)(N2CCC(CC2)N3Cc4ccccc4C3=O)[O-],-14.1313
NCGC00373579-01,c1cc2n(c1)C(=O)N(C2)C3CCN(CC3)C(=O)c4ccc5c(c4)OCO5,-13.9060
NCGC00373613-01,c1ccc2c(c1)CN(C2=O)C3CC[NH+](CC3)Cc4cncs4,-12.5513
NCGC00373610-01,Cn1c(ccn1)C[NH+]2CCC(CC2)N3Cc4ccccc4C3=O,-13.4265
NCGC00373601-01,c1ccnc(c1)C(=O)N2CCC(CC2)N3CCNC3=O,-11.5409
NCGC00373550-01,c1cc(sc1)[S@+](=O)(N2CCC(CC2)N3CCOCC3=O)[O-],-12.5378
NCGC00373607-01,c1ccc2c(c1)CN(C2=O)C3CCN(CC3)C(=O)c4ccc5c(c4)OCO5,-13.8186
NCGC00373621-01,c1cc(ccc1C[NH+]2CCC(CC2)N3CCNC3=O)F,-11.5721
NCGC00373618-01,Cc1ccc(cc1)C(=O)N2CCC(CC2)N3CCOC3=O,-13.5235
NCGC00373622-01,c1cc(ccc1C[NH+]2CCC(CC2)N3CCNC3=O)C#N,-11.6943
NCGC00373537-01,c1cc(sc1)[S@+](=O)(N2CCC(CC2)N3CCCOC3=O)[O-],-13.4786
NCGC00373593-01,COc1ccccc1C(=O)N2CCC(CC2)N3CCNC3=O,-12.0066
NCGC00373563-01,COc1cccc(c1)[S@+](=O)(N2CCC(CC2)N3CCOC3=O)[O-],-13.2349
